,Country,Year,% Plastic in waste stream4,Plastic pollution by year,Value_x,Value_y,plastic pollution per millions of people
180,Greece,2004,29.849999999999994,427.6758749999999,4298.25,10.955142,39.03882532969448
181,Greece,2005,29.849999999999994,427.3067299999999,4294.54,10.987316,38.890911119694735
182,Greece,2006,29.849999999999994,427.35846999999995,4295.06,11.020366,38.778972495105876
183,Greece,2007,29.849999999999994,397.9323399999999,3999.32,11.048466,36.01697647438114
184,Greece,2008,29.849999999999994,416.0035299999999,4180.94,11.077839,37.55276909151684
185,Greece,2009,29.849999999999994,416.0094999999999,4181.0,11.107017,37.45465591706575
186,Greece,2010,29.849999999999994,487.84849999999994,4903.0,11.121344,43.86596619976866
187,Greece,2011,29.849999999999994,457.1029999999999,4594.0,11.1049,41.16227971436032
188,Greece,2012,29.849999999999994,448.4464999999999,4507.0,11.04501,40.60172874447374
189,Greece,2013,29.849999999999994,442.77499999999986,4450.0,10.965209,40.37998728524006
190,Greece,2014,29.849999999999994,447.2524999999999,4495.0,10.892415,41.06091257081188
191,Greece,2015,29.849999999999994,442.1779999999999,4444.0,10.820883,40.86339349570639
192,Greece,2016,29.849999999999994,441.97899999999987,4442.0,10.775966,41.01525561606262
193,Greece,2017,29.849999999999994,437.10349999999994,4393.0,10.754679,40.64310055186212
194,Greece,2018,29.849999999999994,439.09349999999995,4413.0,10.732877,40.91107165394702
195,Greece,2019,19.899999999999995,433.6927394999999,4358.721,10.721584,40.45043526217767
196,Iceland,2000,71.80000000000003,22.617000000000008,126.0,0.2812,80.43029871977244
197,Iceland,2001,71.80000000000003,20.82200000000001,116.0,0.28497,73.06734042179882
198,Iceland,2002,71.80000000000003,20.822000000000006,116.0,0.287516,72.42031747798386
199,Iceland,2003,71.80000000000003,21.54000000000001,120.0,0.289522,74.39849130636017
200,Iceland,2004,71.80000000000003,22.078500000000012,123.0,0.292077,75.59136802966346
201,Iceland,2005,53.85000000000002,22.07850000000001,123.0,0.296734,74.40502268024564
202,Iceland,2006,53.85000000000002,23.69400000000001,132.0,0.303784,77.99620783188058
203,Iceland,2007,53.85000000000002,24.41200000000001,136.0,0.311567,78.35232871260439
204,Iceland,2008,53.85000000000002,30.15600000000001,168.0,0.317404,95.008254464342
205,Iceland,2009,53.85000000000002,19.206500000000013,107.0,0.318501,60.30279339782297
206,Iceland,2010,53.85000000000002,22.25800000000001,124.0,0.318044,69.98402736728255
207,Iceland,2011,53.85000000000002,21.54000000000001,120.0,0.319011,67.52118265514359
208,Iceland,2012,53.85000000000002,21.71950000000001,121.0,0.320723,67.7204316497414
209,Iceland,2013,53.85000000000002,21.00150000000001,117.0,0.323763,64.86689337571003
210,Iceland,2014,53.85000000000002,23.335000000000004,130.0,0.327379,71.27824325934164
211,Iceland,2015,53.85000000000002,22.563150000000007,125.7,0.330818,68.2041182765146
212,Iceland,2016,53.85000000000002,25.471050000000012,141.9,0.335435,75.93438371070405
213,Iceland,2017,53.85000000000002,28.594350000000013,159.3,0.343399,83.26858843502751
214,India,2012,2.9499999999999997,631.1252714999999,21394.077,1265.780243,0.49860572164105105
215,Ireland,2000,35.849999999999994,250.11349999999996,2093.0,3.789536,66.00108825988194
216,Ireland,2001,35.849999999999994,247.48449999999994,2071.0,3.847198,64.32850609716472
217,Ireland,2002,35.849999999999994,235.05649999999994,1967.0,3.917203,60.00620851153232
218,Ireland,2003,35.849999999999994,227.52799999999996,1904.0,3.979853,57.16995074943722
219,Ireland,2004,35.849999999999994,217.37049999999996,1819.0,4.045188,53.73557421805859
220,Ireland,2005,35.849999999999994,219.04349999999997,1833.0,4.133839,52.98791268842351
221,Ireland,2006,35.849999999999994,236.72949999999994,1981.0,4.232929,55.92569589520635
222,Ireland,2007,35.849999999999994,240.79249999999996,2015.0,4.375842,55.02769524128156
223,Ireland,2008,35.849999999999994,241.436605,2020.3899999999999,4.48507,53.83117877758875
224,Ireland,2009,35.849999999999994,219.26098999999996,1834.82,4.533395,48.365736936666664
225,Ireland,2010,35.849999999999994,191.91699999999994,1606.0,4.554763,42.13545249225918
226,Ireland,2011,35.849999999999994,184.07540999999998,1540.38,4.574888,40.23604730869914
227,Ireland,2012,35.849999999999994,173.84859999999995,1454.7999999999997,4.593697,37.84502983109246
228,Ireland,2013,35.849999999999994,173.84859999999995,1454.7999999999997,4.614669,37.67303787118858
229,Ireland,2014,35.849999999999994,170.85393,1429.74,4.64544,36.77884764414135
230,Ireland,2015,35.849999999999994,170.85393,1429.74,4.687787,36.44660689574846
231,Ireland,2016,47.79999999999999,181.82653949999997,1521.561,4.739597,38.36329111947703
232,Ireland,2017,47.79999999999999,179.69585449999994,1503.731,4.79249,37.49530087699712
233,Ireland,2018,47.79999999999999,198.54076549999996,1661.429,4.857015,40.87711598584727
234,Israel,2004,13.949999999999998,488.3392799999999,3500.64,6.809,71.71967689822293
235,Israel,2005,13.949999999999998,507.29732999999993,3636.54,6.930128,73.20172585556861
236,Israel,2006,13.949999999999998,518.90652,3719.76,7.053707,73.5650800352212
237,Israel,2007,13.949999999999998,528.3590399999999,3787.52,7.1801145,73.58643653941729
238,Israel,2008,13.949999999999998,538.1324099999999,3857.58,7.308795,73.62806180772617
239,Israel,2009,13.949999999999998,552.3083999999999,3959.2,7.485565,73.78312792688325
240,Israel,2010,13.949999999999998,573.9908849999999,4114.63,7.623561,75.29170226354849
241,Israel,2011,13.949999999999998,575.9724825,4128.835,7.765832,74.16751772379315
242,Israel,2012,13.949999999999998,555.4471499999999,3981.7,7.910525,70.21621826617069
243,Israel,2013,13.949999999999998,555.5492639999999,3982.432,8.059456,68.93136013150264
244,Israel,2014,13.949999999999998,565.540533,4054.054,8.215668,68.83682897118042
245,Israel,2015,13.949999999999998,573.750666,4112.908,8.380149,68.4654492420123
246,Israel,2016,27.899999999999995,585.2863394999999,4195.601000000001,8.546009,68.48651101350349
247,Israel,2017,27.899999999999995,592.9183845,4250.311000000001,8.713268,68.0477617008911
248,Israel,2018,27.899999999999995,610.6655744999999,4377.531,8.882764,68.74724742208618
249,Israel,2019,27.899999999999995,631.7501624999999,4528.675,9.054,69.77580765407554
250,Italy,2000,17.850000000000005,1447.3375000000005,24325.0,56.942108,25.417701431074534
251,Italy,2001,17.850000000000005,1339.8805000000004,22519.0,56.976976,23.51617432276505
252,Italy,2002,17.850000000000005,1284.0100000000007,21580.0,57.089823,22.49104888624371
253,Italy,2003,17.850000000000005,1256.1045000000006,21111.0,57.399187,21.88366361356304
254,Italy,2004,17.850000000000005,1261.9355000000005,21209.0,57.828178,21.822155628005444
255,Italy,2005,17.850000000000005,1248.9645000000005,20991.0,58.166684,21.472162655859847
256,Italy,2006,17.850000000000005,1286.5090000000007,21622.0,58.399863,22.02931537698985
257,Italy,2007,17.850000000000005,1247.5365000000004,20967.0,58.756247,21.232406147383788
258,Italy,2008,17.850000000000005,1218.0840000000005,20472.0,59.211183,20.57185717772267
259,Italy,2009,17.850000000000005,1209.8730000000005,20334.0,59.555456,20.31506567593069
260,Italy,2010,17.850000000000005,1220.2260000000003,20508.0,59.819402,20.39849880144239
261,Italy,2011,17.850000000000005,1120.9800000000005,18840.0,60.026844,18.674644963843186
262,Italy,2012,17.850000000000005,1026.3155000000004,17249.0,60.191243,17.050910545243273
263,Italy,2013,17.850000000000005,1004.5980000000004,16884.0,60.311616,16.65679128876269
264,Italy,2014,17.850000000000005,904.4000000000003,15200.0,60.320708,14.993192719157081
265,Italy,2015,17.850000000000005,1007.3350000000003,16930.0,60.229599,16.724916265838
266,Italy,2016,17.850000000000005,910.1120000000003,15296.0,60.11522,15.139460522643024
267,Italy,2017,17.850000000000005,762.6115000000003,12817.0,60.002254,12.709714205069702
268,Italy,2018,17.850000000000005,739.1090000000003,12422.0,59.877216,12.343743570175345
269,Italy,2019,11.900000000000004,384.42950000000013,6461.0,59.729077,6.436220335365306
270,Japan,2000,29.849999999999994,4574.313499999998,45973.0,126.925843,36.03926034196203
271,Japan,2001,29.849999999999994,4575.417949999999,45984.1,127.291,35.94455185362672
272,Japan,2002,29.849999999999994,4489.995209999999,45125.58,127.435,35.233610938910026
273,Japan,2003,29.849999999999994,4445.729649999999,44680.7,127.619,34.83595428580383
274,Japan,2004,29.849999999999994,4320.933764999999,43426.47,127.687,33.84004452293498
275,Japan,2005,29.849999999999994,4218.640799999999,42398.4,127.767994,33.01797788262997
276,Japan,2006,29.849999999999994,4150.097239999999,41709.52,127.900515,32.44785402154166
277,Japan,2007,29.849999999999994,4036.0911349999988,40563.73,128.032743,31.52389803130281
278,Japan,2008,29.849999999999994,4176.611999999999,41976.0,128.08396,32.608392182752624
279,Japan,2009,29.849999999999994,4195.914999999999,42170.0,128.031514,32.77251724134106
280,Japan,2010,29.849999999999994,4099.797999999999,41204.0,128.057352,32.01532700754267
281,Japan,2011,29.849999999999994,3914.6284999999993,39343.0,127.834233,30.622693218646678
282,Japan,2012,29.849999999999994,3934.229999999999,39540.0,127.592657,30.834297932991543
283,Japan,2013,29.849999999999994,3891.046999999999,39106.0,127.413888,30.53864112521234
284,Japan,2014,29.849999999999994,3799.705999999999,38188.0,127.23715,29.86318068268583
285,Japan,2015,29.849999999999994,3809.0589999999993,38282.0,127.094745,29.970232050113474
286,Japan,2016,29.849999999999994,3631.650499999999,36499.0,126.932772,28.61081848901873
287,Japan,2017,29.849999999999994,3617.2229999999995,36354.0,126.70621,28.548111414586543
288,Japan,2018,29.849999999999994,3600.606499999999,36187.0,126.44318,28.47608309123512
289,Korea,2000,26.849999999999994,968.3004999999997,10819.0,47.008111,20.598583508280086
290,Korea,2001,17.899999999999995,900.8720949999997,10065.61,47.370164,19.017711127198115
291,Korea,2002,26.849999999999994,960.2454999999999,10729.0,47.644736,20.154283151028476
292,Korea,2003,26.849999999999994,946.6074899999999,10576.62,47.89233,19.765325470696453
293,Korea,2004,26.849999999999994,852.4579649999997,9524.67,48.082519,17.72906209427172
294,Korea,2005,26.849999999999994,718.0584999999999,8023.0,48.184561,14.902252611578216
295,Korea,2008,26.849999999999994,705.2599999999998,7880.0,49.054708,14.377009440154037
296,Korea,2009,26.849999999999994,675.0984999999998,7543.0,49.307835,13.691505619745826
297,Korea,2010,26.849999999999994,640.9094999999999,7161.0,49.554112,12.933528099544995
298,Korea,2011,26.849999999999994,677.6044999999998,7571.0,49.936638,13.56928554140949
299,Korea,2012,26.849999999999994,666.9539999999997,7452.0,50.199853,13.28597516012646
